Contrast,N_Vertices,Mean_t,Max_t,Min_t,Mean_Effect,N_Sig_Pos,Pct_Sig_Pos,N_Sig_Neg,Pct_Sig_Neg
Math,250218,1.0291221105009596,14.764979949170732,-9.796718099875953,0.4461988701094145,76707,30.65606790878354,20827,8.323541871488063
Language,250218,0.47233286347102543,13.513642686560749,-10.316379137345843,0.21514208842130025,58645,23.43756244554748,31822,12.717710156743319
Math-Language,250218,0.5824761681042029,13.099197574344085,-10.182685021227595,0.23242318245570773,46258,18.48707926687928,16256,6.49673484721323
Syntactic contrast,250218,-0.035515318893921545,9.00761056156345,-7.236049696344099,0.011031950304571218,26624,10.64032163953033,26111,10.435300418035473
Semantic contrast,250218,-0.1293965242955029,6.563238725125273,-7.799121977124944,-0.04859720371451189,18270,7.301632976044889,28052,11.211023987083264
