Contrast,N_Vertices,Mean_t,Max_t,Min_t,Mean_Effect,N_Sig_Pos,Pct_Sig_Pos,N_Sig_Neg,Pct_Sig_Neg
Math,313590,0.8574034337956927,19.42411056023494,-18.629538952997482,0.3597439565424371,97329,31.037022864249497,48566,15.487100991740808
Language,313590,0.45734729345847,18.31759546640426,-19.977172615911677,0.19124986299749996,74565,23.777862814503013,44622,14.229407825504639
Math-Language,313590,0.389021483676473,14.331181680103807,-16.79199795858578,0.15473917731532497,67271,21.451895787493225,43090,13.740871839025479
Syntactic contrast,313590,-0.00799533767405137,7.170606296757254,-6.300787059633997,-0.005839089761646103,20585,6.56430370866418,22684,7.233649032175771
Semantic contrast,313590,-0.09681854317809627,7.37283972353738,-6.580699552079562,-0.02517595610175835,20873,6.6561433719187475,26427,8.427245766765521
