Contrast,N_Vertices,Mean_t,Max_t,Min_t,Mean_Effect,N_Sig_Pos,Pct_Sig_Pos,N_Sig_Neg,Pct_Sig_Neg
Math,223107,3.879580974274524,24.845651638158103,-15.134003401744732,1.8048972058766493,140115,62.80170501149673,12895,5.779737973259468
Language,223107,3.365305197839346,22.984322377368795,-13.335192172497008,1.6309756665168782,132660,59.46025897887561,13575,6.0845244658392605
Math-Language,223107,0.47935057858046093,12.841928219184394,-12.434899567462313,0.19095700451770534,42021,18.83446059514045,21965,9.845051925757597
Syntactic contrast,223107,-0.4579757506657087,8.021722344179409,-10.361819338997487,-0.09361531283737783,12150,5.445817477712488,34000,15.239324628989678
Semantic contrast,223107,0.9706823141995137,6.557884177502244,-4.519413990944293,0.23263432670563552,49526,22.19831739927479,2729,1.2231799091915538
